,Stats/Mixed return,Stats/Suboptimal return,Stats/Expert return,Stats/Cede Control,Stats/Novel,Stats/Risky
0,8869.8486328125,5297.431640625,8836.70703125,1.0,0.0,0.0
500,8785.2890625,5183.28076171875,8836.70703125,1.0,0.0,0.0
1000,8691.0166015625,5450.134765625,8836.70703125,1.0,0.0,0.0
1500,8732.16796875,5940.427734375,8836.70703125,1.0,0.0,0.0
2000,8767.705078125,5631.3876953125,8836.70703125,1.0,0.0,0.0
2500,8795.609375,6004.19873046875,8836.70703125,1.0,0.0,0.0
3000,8725.8876953125,5848.74951171875,8836.70703125,1.0,0.0,0.0
3500,8774.0458984375,6233.38232421875,8836.70703125,1.0,0.0,0.0
4000,8792.3681640625,6277.9248046875,8836.70703125,1.0,0.0,0.0
4500,8786.634765625,5799.32275390625,8836.70703125,1.0,0.0,0.0
5000,8709.9072265625,6411.46728515625,8836.70703125,1.0,0.0,0.0
5500,8827.2265625,6061.57861328125,8836.70703125,1.0,0.0,0.0
6000,8769.80859375,6473.0654296875,8836.70703125,1.0,0.0,0.0
6500,8819.1494140625,6366.85546875,8836.70703125,1.0,0.0,0.0
7000,8809.892578125,6177.37255859375,8836.70703125,1.0,0.0,0.0
7500,8802.48046875,6410.46923828125,8836.70703125,1.0,0.0,0.0
8000,8767.44921875,6617.97900390625,8836.70703125,1.0,0.0,0.0
8500,8769.5361328125,6653.00830078125,8836.70703125,1.0,0.0,0.0
9000,8742.296875,6506.14599609375,8836.70703125,1.0,0.0,0.0
9500,8777.0009765625,6579.8994140625,8836.70703125,1.0,0.0,0.0
10000,8796.6240234375,6484.384765625,8836.70703125,1.0,0.0,0.0
10500,8815.15234375,6565.84033203125,8836.70703125,1.0,0.0,0.0
11000,8768.3935546875,6764.00244140625,8836.70703125,1.0,0.0,0.0
11500,8796.3134765625,6529.72607421875,8836.70703125,0.9990000128746033,0.0,0.0
12000,8754.8310546875,6974.7939453125,8836.70703125,1.0,0.0,0.0
12500,8831.5185546875,6821.4384765625,8836.70703125,1.0,0.0,0.0
13000,8749.5576171875,6710.275390625,8836.70703125,1.0,0.0,0.0
13500,8904.9033203125,6797.5888671875,8836.70703125,1.0,0.0,0.0
14000,8813.9619140625,7048.1796875,8836.70703125,1.0,0.0,0.0
14500,8771.7119140625,6856.06591796875,8836.70703125,1.0,0.0,0.0
15000,8824.916015625,6907.01318359375,8836.70703125,0.9980000257492065,0.0,0.0
15500,8793.265625,3361.174072265625,8836.70703125,1.0,0.0,0.0
16000,8781.240234375,6601.31298828125,8836.70703125,1.0,0.0,0.0
16500,8800.166015625,6797.98291015625,8836.70703125,0.9990000128746033,0.0,0.0
17000,8731.1162109375,6795.31005859375,8836.70703125,1.0,0.0,0.0
17500,8731.9404296875,6686.70556640625,8836.70703125,0.9980000257492065,0.0,0.0
18000,8705.166015625,7008.9931640625,8836.70703125,0.9990000128746033,0.0,0.0
18500,8802.9296875,6970.46923828125,8836.70703125,0.9990000128746033,0.0,0.0
19000,8660.33984375,7006.4599609375,8836.70703125,1.0,0.0,0.0
19500,8788.7353515625,6956.31591796875,8836.70703125,1.0,0.0,0.0
20000,8765.81640625,7101.52880859375,8836.70703125,0.996999979019165,0.0,0.0
20500,8767.3359375,6999.5205078125,8836.70703125,1.0,0.0,0.0
21000,8669.6650390625,6678.2138671875,8836.70703125,0.9990000128746033,0.0,0.0
21500,8745.72265625,6655.90966796875,8836.70703125,1.0,0.0,0.0
22000,8742.8447265625,6953.78857421875,8836.70703125,0.9990000128746033,0.0,0.0
22500,8685.9111328125,6884.67529296875,8836.70703125,1.0,0.0,0.0
23000,8797.8818359375,6844.02490234375,8836.70703125,0.9990000128746033,0.0,0.0
23500,8835.7919921875,7059.236328125,8836.70703125,0.9990000128746033,0.0,0.0
24000,8771.1953125,6505.72607421875,8836.70703125,0.9959999918937683,0.0,0.0
24500,8791.552734375,6785.7685546875,8836.70703125,0.996999979019165,0.0,0.0
25000,8807.9794921875,6652.62451171875,8836.70703125,0.9980000257492065,0.0,0.0
25500,8719.6435546875,6640.83447265625,8836.70703125,1.0,0.0,0.0
26000,8744.677734375,6643.4658203125,8836.70703125,0.9980000257492065,0.0,0.0
26500,8846.9560546875,6962.19873046875,8836.70703125,0.996999979019165,0.0,0.0
27000,8768.6455078125,6626.19287109375,8836.70703125,0.996999979019165,0.0,0.0
27500,8730.3115234375,6831.283203125,8836.70703125,1.0,0.0,0.0
28000,8763.40234375,7031.91845703125,8836.70703125,0.9980000257492065,0.0,0.0
28500,8736.88671875,6356.2666015625,8836.70703125,0.9980000257492065,0.0,0.0
29000,8746.560546875,6962.66943359375,8836.70703125,0.9940000176429749,0.0,0.0
29500,8754.240234375,6660.9658203125,8836.70703125,0.996999979019165,0.0,0.0
30000,8824.6611328125,6654.2734375,8836.70703125,0.996999979019165,0.0,0.0
30500,8744.6435546875,6838.19970703125,8836.70703125,0.996999979019165,0.0,0.0
31000,8769.2607421875,6835.64453125,8836.70703125,0.9980000257492065,0.0,0.0
31500,8898.1689453125,6371.29150390625,8836.70703125,0.996999979019165,0.0,0.0
32000,8755.861328125,6776.41650390625,8836.70703125,0.9950000047683716,0.0,0.0
32500,8704.31640625,6827.94775390625,8836.70703125,0.9959999918937683,0.0,0.0
33000,8818.4931640625,6940.42431640625,8836.70703125,0.9950000047683716,0.0,0.0
33500,8662.3271484375,6964.85498046875,8836.70703125,0.9990000128746033,0.0,0.0
34000,8696.666015625,6910.1708984375,8836.70703125,0.9929999709129333,0.0,0.0
34500,8596.2724609375,6920.3037109375,8836.70703125,0.984000027179718,0.0,0.0
35000,8645.4638671875,6820.1181640625,8836.70703125,0.9860000014305115,0.0,0.0
35500,8875.734375,6793.2763671875,8836.70703125,0.9850000143051147,0.0,0.0
36000,8809.3154296875,6941.7890625,8836.70703125,0.9919999837875366,0.0,0.0
36500,8731.8984375,6964.03466796875,8836.70703125,0.9900000095367432,0.0,0.0
37000,8784.9697265625,6724.1025390625,8836.70703125,0.9919999837875366,0.0,0.0
37500,8791.01953125,6515.8193359375,8836.70703125,0.9819999933242798,0.0,0.0
38000,8870.1337890625,6959.078125,8836.70703125,0.9900000095367432,0.0,0.0
38500,8829.263671875,6768.87451171875,8836.70703125,0.9819999933242798,0.0,0.0
39000,8730.1474609375,6932.962890625,8836.70703125,0.9810000061988831,0.0,0.0
39500,8803.7646484375,6972.67236328125,8836.70703125,0.9850000143051147,0.0,0.0
40000,8726.66796875,6964.9892578125,8836.70703125,0.9760000109672546,0.0,0.0
40500,8782.0380859375,6881.7001953125,8836.70703125,0.9879999756813049,0.0,0.0
41000,8680.24609375,6914.2158203125,8836.70703125,0.9800000190734863,0.0,0.0
41500,8614.2265625,6913.78515625,8836.70703125,0.9729999899864197,0.0,0.0
42000,8839.29296875,7117.2841796875,8836.70703125,0.9829999804496765,0.0,0.0
42500,8830.2080078125,6876.2578125,8836.70703125,0.9760000109672546,0.0,0.0
43000,8788.875,7040.11376953125,8836.70703125,0.9679999947547913,0.0,0.0
43500,8790.73046875,6912.0703125,8836.70703125,0.972000002861023,0.0,0.0
44000,8684.212890625,6934.1904296875,8836.70703125,0.9700000286102295,0.0,0.0
44500,8704.921875,6963.22314453125,8836.70703125,0.9589999914169312,0.0,0.0
45000,8715.30859375,7002.46337890625,8836.70703125,0.9700000286102295,0.0,0.0
45500,8750.0380859375,6915.6318359375,8836.70703125,0.9589999914169312,0.0,0.0
46000,8666.3505859375,7007.82275390625,8836.70703125,0.9559999704360962,0.0,0.0
46500,8715.591796875,6498.40185546875,8836.70703125,0.9660000205039978,0.0,0.0
47000,8668.5234375,7295.58447265625,8836.70703125,0.9449999928474426,0.0,0.0
47500,8788.103515625,6664.39013671875,8836.70703125,0.9570000171661377,0.0,0.0
48000,8758.3076171875,6821.783203125,8836.70703125,0.9340000152587891,0.0,0.0
48500,8699.01171875,6982.99853515625,8836.70703125,0.9330000281333923,0.0,0.0
49000,8753.7744140625,6859.1201171875,8836.70703125,0.9419999718666077,0.0,0.0
49500,8724.142578125,7031.61083984375,8836.70703125,0.9240000247955322,0.0,0.0
50000,8745.3828125,6949.865234375,8836.70703125,0.9340000152587891,0.0,0.0
50500,8721.072265625,7043.76611328125,8836.70703125,0.906000018119812,0.0,0.0
51000,8675.36328125,6875.01904296875,8836.70703125,0.9150000214576721,0.0,0.0
51500,8546.6337890625,7093.16259765625,8836.70703125,0.9319999814033508,0.0,0.0
52000,8521.375,6959.259765625,8836.70703125,0.8859999775886536,0.0,0.0
52500,8613.2119140625,7200.50341796875,8836.70703125,0.8930000066757202,0.0,0.0
53000,8656.400390625,7052.71240234375,8836.70703125,0.8920000195503235,0.0,0.0
53500,8643.810546875,7367.068359375,8836.70703125,0.8820000290870667,0.0,0.0
