Wall time,Step,Value
1706558088.9432085,0,5058.62841796875
1706558189.496027,500,5296.5419921875
1706558291.0342886,1000,5366.240234375
1706558392.4607882,1500,5586.43359375
1706558494.455704,2000,5741.53515625
1706558598.688252,2500,6145.19091796875
1706558703.106559,3000,6160.64892578125
1706558806.9824405,3500,6291.16845703125
1706558913.6191514,4000,5982.984375
1706559019.283999,4500,5894.7060546875
1706559126.1508646,5000,6388.677734375
1706559231.9935906,5500,6481.9873046875
1706559338.5777736,6000,6577.7158203125
1706559445.0705256,6500,6648.79443359375
1706559552.7898822,7000,6266.7685546875
1706559661.6006129,7500,6628.4462890625
1706559769.7613819,8000,6777.12109375
1706559878.2985857,8500,6989.47998046875
1706559987.3165522,9000,6389.0966796875
1706560095.6133564,9500,6835.0048828125
1706560203.042417,10000,6971.17431640625
1706560314.4308074,10500,6721.49853515625
1706560422.1563575,11000,6626.69775390625
1706560529.340243,11500,7049.66162109375
1706560636.318696,12000,6912.71533203125
1706560742.4674654,12500,6657.3759765625
1706560850.5972521,13000,6934.044921875
1706560958.2699475,13500,6814.4609375
1706561065.6538596,14000,6806.18798828125
1706561172.3130834,14500,6874.2587890625
1706561281.1523852,15000,6896.83056640625
1706561389.498078,15500,7147.3310546875
1706561498.014753,16000,6877.3134765625
1706561605.8232648,16500,6799.5576171875
1706561714.6452065,17000,6810.119140625
1706561822.1945126,17500,6898.9501953125
1706561929.140763,18000,7103.626953125
1706562036.819596,18500,6908.26025390625
1706562146.3113136,19000,7208.46240234375
1706562254.973046,19500,6840.87548828125
1706562365.907383,20000,6945.1923828125
1706562471.7164445,20500,6963.8359375
1706562579.0460644,21000,6753.71923828125
1706562686.6109073,21500,7004.13232421875
1706562792.9675655,22000,7015.17724609375
1706562899.097008,22500,7098.69287109375
1706563006.5933185,23000,7202.2158203125
1706563114.4909558,23500,7236.044921875
1706563223.034505,24000,7231.6162109375
1706563330.4442387,24500,6942.10693359375
1706563439.913094,25000,7061.92724609375
1706563547.9772532,25500,6837.52685546875
1706563655.9103515,26000,7026.8076171875
1706563763.798788,26500,6792.57861328125
1706563872.2106228,27000,6904.76025390625
1706563979.8741477,27500,6918.26806640625
