,Stats/Percentile 10,Stats/Base Percentile 10,Stats/Expert Percentile 10,Stats/Cede Control,Stats/Novel,Stats/Risky
0,-25.616701126098633,-40.3138313293457,-25.86574363708496,0.8375337719917297,0.16809117794036865,0.7935889959335327
500,-25.711528778076172,-32.623043060302734,-25.86574363708496,0.5415470600128174,0.18307307362556458,0.508030354976654
1000,-25.84528923034668,-30.98736572265625,-25.86574363708496,0.4743671417236328,0.18420282006263733,0.4443432092666626
1500,-25.691064834594727,-40.37373733520508,-25.86574363708496,0.4542575180530548,0.1782611757516861,0.4353591799736023
2000,-25.734472274780273,-31.82026481628418,-25.86574363708496,0.3952372968196869,0.17764823138713837,0.35629141330718994
2500,-45.503787994384766,-46.49863815307617,-25.86574363708496,0.04964999854564667,0.02319999970495701,0.04520000144839287
3000,-25.57834243774414,-1514.9649658203125,-25.86574363708496,0.33453065156936646,0.16216512024402618,0.25215065479278564
3500,-25.567243576049805,-1542.490478515625,-25.86574363708496,0.3343345522880554,0.15320996940135956,0.2709108889102936
4000,-25.592771530151367,-1495.068115234375,-25.86574363708496,0.2879551947116852,0.13701248168945312,0.19368527829647064
4500,-25.5458927154541,-1537.7200927734375,-25.86574363708496,0.309832900762558,0.14944809675216675,0.23426491022109985
5000,-25.474315643310547,-32.51935577392578,-25.86574363708496,0.26832643151283264,0.12254941463470459,0.17844128608703613
5500,-25.684322357177734,-1516.8114013671875,-25.86574363708496,0.2577817142009735,0.11302833259105682,0.18696385622024536
6000,-25.474857330322266,-1496.56787109375,-25.86574363708496,0.271394819021225,0.12300649285316467,0.17694976925849915
6500,-25.78131103515625,-184.2970733642578,-25.86574363708496,0.2882804274559021,0.11318093538284302,0.2117781937122345
7000,-25.58342170715332,-28.413253784179688,-25.86574363708496,0.19340841472148895,0.10511838644742966,0.09898124635219574
7500,-25.964031219482422,-26.160837173461914,-25.86574363708496,0.17690202593803406,0.11478402465581894,0.06822624802589417
8000,-25.7150936126709,-25.79820442199707,-25.86574363708496,0.1572132110595703,0.1009528860449791,0.05913599953055382
8500,-25.775943756103516,-25.61277198791504,-25.86574363708496,0.11736328154802322,0.08866925537586212,0.030647147446870804
9000,-25.41021156311035,-25.2248477935791,-25.86574363708496,0.15747760236263275,0.07355963438749313,0.08855757862329483
