,Stats/Percentile 10,Stats/Base Percentile 10,Stats/Expert Percentile 10,Stats/Cede Control,Stats/Novel,Stats/Risky
0,-25.707988739013672,-36.9764518737793,-25.86574363708496,0.9796415567398071,0.16752970218658447,0.827942430973053
500,-25.705455780029297,-53.63375473022461,-25.86574363708496,0.9216039180755615,0.18471352756023407,0.5287481546401978
1000,-25.707006454467773,-34.89182662963867,-25.86574363708496,0.8901281356811523,0.18665704131126404,0.43121597170829773
1500,-25.702983856201172,-32.54195022583008,-25.86574363708496,0.8759029507637024,0.18430094420909882,0.41511085629463196
2000,-25.712949752807617,-1300.4498291015625,-25.86574363708496,0.8463717103004456,0.16503563523292542,0.3632499575614929
2500,-25.695045471191406,-39.04679489135742,-25.86574363708496,0.8118719458580017,0.1623414158821106,0.29793354868888855
3000,-25.686466217041016,-1530.6705322265625,-25.86574363708496,0.8093531727790833,0.15400774776935577,0.34434452652931213
3500,-25.68936538696289,-1555.1871337890625,-25.86574363708496,0.7750965356826782,0.13663412630558014,0.2685142457485199
4000,-25.6888370513916,-1508.5867919921875,-25.86574363708496,0.7634586095809937,0.13055087625980377,0.2520454227924347
4500,-25.690288543701172,-28.015113830566406,-25.86574363708496,0.7718261480331421,0.12660951912403107,0.268210232257843
5000,-25.660648345947266,-28.033384323120117,-25.86574363708496,0.7623875737190247,0.1286667436361313,0.272115021944046
5500,-25.596656799316406,-25.869144439697266,-25.86574363708496,0.7369458079338074,0.11099016666412354,0.2567542791366577
6000,-25.745986938476562,-30.91706085205078,-25.86574363708496,0.6574490666389465,0.11740432679653168,0.08076551556587219
6500,-25.608797073364258,-24.900442123413086,-25.86574363708496,0.6917344331741333,0.09984009712934494,0.23286789655685425
7000,-25.525175094604492,-25.17820167541504,-25.86574363708496,0.6435327529907227,0.1124633401632309,0.11896166205406189
7500,-25.435890197753906,-25.921680450439453,-25.86574363708496,0.6206192374229431,0.0975983738899231,0.10677281767129898
8000,-25.611129760742188,-27.100351333618164,-25.86574363708496,0.5861290693283081,0.07779920846223831,0.07632000744342804
8500,-25.447961807250977,-25.21163558959961,-25.86574363708496,0.595268964767456,0.10884642601013184,0.09632362425327301
9000,-25.627246856689453,-25.704835891723633,-25.86574363708496,0.5591008067131042,0.08989954739809036,0.10080397129058838
9500,-25.503707885742188,-25.7667293548584,-25.86574363708496,0.5510833263397217,0.084261953830719,0.08548355847597122
10000,-25.500503540039062,-25.234758377075195,-25.86574363708496,0.4972754418849945,0.09148269146680832,0.0021033345256000757
