,Stats/Mixed return,Stats/Suboptimal return,Stats/Expert return,Stats/Cede Control,Stats/Novel,Stats/Risky
0,8777.9716796875,5069.06298828125,8714.9140625,1.0,0.027000000700354576,1.0
500,8766.7666015625,5166.326171875,8714.9140625,1.0,0.014999999664723873,1.0
1000,8746.0400390625,5383.8173828125,8714.9140625,1.0,0.02500000037252903,1.0
1500,8805.0087890625,5674.81494140625,8714.9140625,1.0,0.024000000208616257,1.0
2000,8713.8369140625,5943.71630859375,8714.9140625,1.0,0.02500000037252903,1.0
2500,8758.634765625,6166.74755859375,8714.9140625,1.0,0.013000000268220901,1.0
3000,8762.744140625,6100.77294921875,8714.9140625,1.0,0.027000000700354576,1.0
3500,8683.3076171875,6144.623046875,8714.9140625,1.0,0.02500000037252903,1.0
4000,8709.66015625,5276.49072265625,8714.9140625,1.0,0.020999999716877937,1.0
4500,8837.6162109375,5719.86376953125,8714.9140625,1.0,0.017000000923871994,1.0
5000,8729.1357421875,6199.96923828125,8714.9140625,1.0,0.028999999165534973,1.0
5500,8807.2255859375,1998.9542236328125,8714.9140625,1.0,0.017999999225139618,1.0
6000,8841.947265625,6189.63037109375,8714.9140625,1.0,0.014999999664723873,1.0
6500,8779.2568359375,6269.78515625,8714.9140625,1.0,0.02199999988079071,1.0
7000,8837.7099609375,6055.265625,8714.9140625,1.0,0.017000000923871994,1.0
7500,8797.4794921875,6483.2197265625,8714.9140625,1.0,0.01899999938905239,1.0
8000,8855.2431640625,6523.27685546875,8714.9140625,1.0,0.01899999938905239,1.0
8500,8784.197265625,6546.38427734375,8714.9140625,1.0,0.020999999716877937,1.0
9000,8756.7236328125,6647.9873046875,8714.9140625,1.0,0.027000000700354576,1.0
9500,8817.8486328125,6475.060546875,8714.9140625,1.0,0.023000000044703484,1.0
10000,8867.08203125,6488.1708984375,8714.9140625,1.0,0.020999999716877937,1.0
10500,8824.931640625,6406.4541015625,8714.9140625,1.0,0.027000000700354576,0.9950000047683716
11000,8764.341796875,6810.54833984375,8714.9140625,1.0,0.026000000536441803,0.9660000205039978
11500,8818.03515625,6735.5380859375,8714.9140625,1.0,0.024000000208616257,0.8289999961853027
12000,8836.228515625,6591.20849609375,8714.9140625,1.0,0.02199999988079071,0.42500001192092896
12500,8833.1220703125,6636.57275390625,8714.9140625,0.9990000128746033,0.01899999938905239,0.07900000363588333
13000,8691.380859375,6875.96337890625,8714.9140625,1.0,0.02800000086426735,0.014000000432133675
13500,8734.7939453125,6915.8701171875,8714.9140625,1.0,0.028999999165534973,0.00800000037997961
14000,8761.1962890625,6857.173828125,8714.9140625,0.9990000128746033,0.024000000208616257,0.003000000026077032
