,Stats/Percentile 10,Stats/Base Percentile 10,Stats/Expert Percentile 10,Stats/Cede Control,Stats/Novel,Stats/Risky
0,-25.616701126098633,-40.3138313293457,-25.86574363708496,0.8375337719917297,0.16809117794036865,0.7935889959335327
500,-25.637678146362305,-32.93665313720703,-25.86574363708496,0.5740722417831421,0.1856278032064438,0.5406943559646606
1000,-25.927358627319336,-34.73268127441406,-25.86574363708496,0.48776671290397644,0.18682345747947693,0.4349507689476013
1500,-25.73291015625,-32.83729553222656,-25.86574363708496,0.46134698390960693,0.17847195267677307,0.4021943211555481
2000,-25.602210998535156,-33.176658630371094,-25.86574363708496,0.44633254408836365,0.1700420379638672,0.3632635772228241
2500,-42.389305114746094,-42.81991958618164,-25.86574363708496,0.146506667137146,0.07099636644124985,0.10774139314889908
3000,-25.457448959350586,-35.52177429199219,-25.86574363708496,0.36271780729293823,0.16594921052455902,0.24028904736042023
3500,-25.593902587890625,-33.21437072753906,-25.86574363708496,0.34390440583229065,0.14519789814949036,0.2482563853263855
4000,-25.567441940307617,-26.64691925048828,-25.86574363708496,0.31243932247161865,0.14552712440490723,0.20143572986125946
4500,-31.609973907470703,-32.14992141723633,-25.86574363708496,0.3173893392086029,0.13285322487354279,0.2051200568675995
5000,-25.75375747680664,-28.409160614013672,-25.86574363708496,0.34155258536338806,0.14163364470005035,0.22523365914821625
5500,-25.501306533813477,-27.84368324279785,-25.86574363708496,0.33121636509895325,0.1170109435915947,0.24584244191646576
6000,-25.563175201416016,-27.85923194885254,-25.86574363708496,0.3266557455062866,0.10728762298822403,0.2442038357257843
6500,-26.172954559326172,-27.21623420715332,-25.86574363708496,0.2706294059753418,0.1173078641295433,0.1750461757183075
7000,-25.519392013549805,-25.651033401489258,-25.86574363708496,0.2824767827987671,0.11965212225914001,0.19384680688381195
7500,-25.536182403564453,-25.456789016723633,-25.86574363708496,0.30329233407974243,0.09935261309146881,0.22623321413993835
8000,-25.99182891845703,-25.50778579711914,-25.86574363708496,0.29509732127189636,0.08277080208063126,0.24951669573783875
8500,-25.66855812072754,-25.12401580810547,-25.86574363708496,0.28665128350257874,0.10490324348211288,0.21886305510997772
9000,-25.487226486206055,-25.694847106933594,-25.86574363708496,0.3417319655418396,0.08717232942581177,0.3055301308631897
