Wall time,Step,Value
1706558037.1384387,0,5107.44775390625
1706558137.359979,500,5302.3466796875
1706558237.8376558,1000,5420.65625
1706558337.8760514,1500,5760.04443359375
1706558438.156731,2000,5908.88330078125
1706558538.3688166,2500,5865.2138671875
1706558638.4846287,3000,6001.388671875
1706558738.2737725,3500,5722.3544921875
1706558838.801349,4000,6078.5439453125
1706558939.6821282,4500,6366.56494140625
1706559041.6408389,5000,6315.658203125
1706559144.2900944,5500,6427.79296875
1706559248.5738835,6000,6566.724609375
1706559354.2676675,6500,6252.6328125
1706559460.0341763,7000,6697.5166015625
1706559565.4392326,7500,6060.263671875
1706559673.4413145,8000,6463.97265625
1706559780.0995688,8500,6608.76953125
1706559888.7463562,9000,6009.1767578125
1706559996.137261,9500,6462.26171875
1706560104.4587712,10000,6780.8701171875
1706560211.6917534,10500,6340.69921875
1706560319.6276958,11000,6681.79052734375
1706560426.1828792,11500,6116.68701171875
1706560533.4552782,12000,6405.63916015625
1706560639.4325416,12500,6853.85888671875
1706560746.2883635,13000,6775.349609375
1706560852.0746508,13500,6631.00048828125
1706560958.3924391,14000,6507.1806640625
1706561064.097167,14500,6831.6640625
1706561171.3022153,15000,6423.4248046875
1706561277.7016675,15500,6887.43701171875
1706561385.1237364,16000,6499.166015625
1706561491.918495,16500,7024.99365234375
1706561599.219261,17000,6828.833984375
1706561706.650855,17500,6906.515625
1706561813.906341,18000,6953.1220703125
1706561920.9997425,18500,6904.7626953125
1706562028.2631328,19000,6982.82763671875
1706562134.644475,19500,6614.1669921875
1706562242.2719193,20000,7073.15576171875
1706562350.0056782,20500,6928.9638671875
1706562456.9903324,21000,7062.77734375
1706562563.418519,21500,7069.61669921875
1706562671.5904775,22000,7140.37109375
1706562778.7330184,22500,7069.8251953125
1706562887.5269444,23000,7464.55322265625
1706562994.6703334,23500,7224.015625
1706563103.008626,24000,7023.0927734375
1706563210.007387,24500,7186.66845703125
1706563317.6443875,25000,7304.1220703125
1706563424.619304,25500,6961.7314453125
1706563532.4124382,26000,7114.89501953125
1706563638.8259683,26500,7043.47900390625
1706563746.4210877,27000,7403.12451171875
1706563852.52811,27500,7226.07958984375
1706563959.5945613,28000,7013.236328125
1706564065.7429879,28500,7122.20361328125
1706564173.8262215,29000,7413.7841796875
1706564280.8141654,29500,7296.46923828125
1706564387.6933749,30000,7341.5849609375
1706564493.5511572,30500,7037.037109375
1706564600.0517735,31000,6979.04443359375
1706564705.410327,31500,7002.76953125
1706564812.3252547,32000,7195.53759765625
1706564918.6559432,32500,7136.5947265625
1706565025.8893485,33000,6975.87548828125
1706565132.1971118,33500,7214.271484375
1706565239.3079379,34000,7481.84716796875
1706565345.9265957,34500,7259.787109375
1706565453.3446555,35000,7272.80126953125
1706565559.6298363,35500,6905.310546875
1706565666.559196,36000,7359.32470703125
1706565772.871709,36500,7380.06201171875
1706565879.768814,37000,7490.68359375
1706565985.9135497,37500,7398.48828125
1706566093.2043252,38000,7104.96435546875
1706566199.7338696,38500,7212.34130859375
1706566306.3769052,39000,7551.26513671875
1706566412.233049,39500,7581.490234375
1706566518.9370267,40000,7346.26708984375
1706566625.04445,40500,7417.89990234375
1706566731.810827,41000,7026.0849609375
1706566838.7160814,41500,7470.591796875
1706566946.134656,42000,7396.05126953125
1706567053.0531821,42500,7703.3759765625
1706567159.0743465,43000,7229.94091796875
1706567262.5755136,43500,7368.76220703125
1706567368.2410417,44000,7494.32958984375
1706567473.5845647,44500,7704.66064453125
1706567579.859912,45000,7492.07861328125
1706567685.9253323,45500,7594.24072265625
1706567790.8567343,46000,7594.69921875
1706567896.8020544,46500,7629.64501953125
1706568003.3077352,47000,7523.08447265625
1706568109.1640065,47500,7445.2568359375
1706568216.3652363,48000,7500.26708984375
1706568322.5187147,48500,7318.50830078125
1706568430.9631264,49000,7758.3310546875
1706568537.4729316,49500,7427.08203125
1706568645.0404444,50000,7396.93017578125
1706568752.2308831,50500,7215.85546875
1706568860.0738742,51000,7639.56298828125
1706568967.092032,51500,7839.05908203125
1706569075.1908824,52000,7761.208984375
1706569183.054064,52500,7891.42578125
1706569290.65116,53000,7938.5791015625
1706569397.2098804,53500,7798.76318359375
1706569504.8172746,54000,7652.46923828125
1706569611.4467661,54500,7631.71875
1706569718.6038728,55000,7481.40625
1706569824.331845,55500,7856.4345703125
1706569930.8069978,56000,7478.85302734375
1706570036.9964287,56500,7667.68994140625
1706570144.1015368,57000,7527.62890625
1706570250.2291555,57500,7430.25830078125
1706570357.6313913,58000,7659.8515625
1706570464.067759,58500,7566.9755859375
1706570572.245951,59000,7810.07177734375
1706570679.4535215,59500,7689.06640625
1706570787.8115504,60000,7860.3388671875
1706570895.130157,60500,7731.77783203125
1706571003.0574176,61000,7908.28515625
1706571110.0240386,61500,7847.12890625
1706571217.4639328,62000,8121.93603515625
1706571324.334053,62500,8041.7802734375
1706571431.740512,63000,7990.619140625
1706571538.0596278,63500,8077.4443359375
1706571645.384205,64000,7708.287109375
1706571752.380574,64500,7894.908203125
1706571860.0352337,65000,8043.02490234375
1706571966.4454594,65500,8080.7392578125
1706572073.86312,66000,7888.71728515625
1706572180.685823,66500,7866.6259765625
1706572288.3125734,67000,7710.79345703125
1706572395.619543,67500,8170.67041015625
1706572503.834047,68000,8121.6416015625
1706572610.9164476,68500,7911.73583984375
1706572718.4509795,69000,7968.0
1706572825.2431846,69500,8020.412109375
1706572933.184718,70000,8200.5166015625
1706573039.55063,70500,8047.6103515625
1706573146.9413648,71000,8006.48486328125
1706573254.175216,71500,7994.97119140625
1706573361.3319514,72000,7784.53173828125
1706573467.493439,72500,8066.56884765625
1706573574.0976105,73000,8211.212890625
1706573680.7084181,73500,8076.89599609375
1706573788.034277,74000,7946.69140625
1706573894.6680064,74500,8344.912109375
1706574001.9639337,75000,7911.46240234375
1706574108.9865942,75500,8078.7568359375
1706574216.6303618,76000,8218.5263671875
1706574324.8296137,76500,8153.86083984375
1706574432.3494802,77000,8022.17431640625
1706574539.9890943,77500,8045.0322265625
1706574647.711839,78000,8277.001953125
1706574754.8924744,78500,8108.56640625
1706574862.0574963,79000,8407.4423828125
1706574968.3656766,79500,8029.6064453125
1706575076.3443682,80000,8184.64013671875
1706575183.3748255,80500,8061.79736328125
1706575290.7829614,81000,8294.869140625
1706575400.0909593,81500,8040.8564453125
1706575507.5080707,82000,8237.78515625
1706575615.1318371,82500,8285.2109375
1706575723.430403,83000,8150.42626953125
1706575830.692118,83500,8524.9111328125
1706575938.282181,84000,8134.32958984375
1706576044.5106425,84500,8125.4716796875
1706576152.0704215,85000,8442.52734375
1706576258.0236425,85500,8077.3896484375
1706576364.6967807,86000,7970.01806640625
1706576470.7509189,86500,8145.8154296875
1706576577.4161677,87000,8191.748046875
1706576684.2120636,87500,7903.8232421875
1706576791.5459437,88000,8255.8916015625
1706576898.0489714,88500,7911.58251953125
1706577005.189999,89000,8015.01416015625
1706577111.7867303,89500,8246.7060546875
1706577219.310312,90000,8375.7685546875
1706577326.2474725,90500,8363.236328125
1706577432.9816265,91000,8247.4306640625
1706577539.2177024,91500,7883.80810546875
